iot_id,observation_type,lat,lon
12912,car,53.546115,9.968101
12916,car,53.546025,9.968099
12920,car,53.551923,10.007148
12924,car,53.552013,10.00715
12928,car,53.553304,9.992493
12932,car,53.553366,9.9926
12936,car,53.553242,9.992386
12940,car,53.563027,9.976414
12944,car,53.563029,9.976263
12948,car,53.556886,9.997287
12952,car,53.556797,9.997285
12956,car,53.556976,9.997289
12960,car,53.556588,10.001809
12964,car,53.556652,10.001705
12968,car,53.625385,10.031895
12972,car,53.625387,10.031744
12976,car,53.626,10.030413
12980,car,53.62609,10.030416
12984,car,53.625911,10.030411
12988,car,53.625384,10.032046
12992,car,53.68077,10.000681
12996,car,53.680769,10.000832
13000,car,53.680771,10.00053
13004,car,53.556524,10.001913
13008,car,53.654393,10.107262
13012,car,53.654395,10.107111
13016,car,53.653455,10.105739
13020,car,53.653545,10.105742
13024,car,53.65297,10.106589
13028,car,53.652969,10.10674
13032,car,53.585089,10.042198
13036,car,53.585087,10.042349
13040,car,53.565365,10.019471
13044,car,53.565429,10.019367
13048,car,53.565301,10.019576
13052,car,53.58509,10.042047
13056,car,53.628711,10.141839
13060,car,53.628649,10.141732
13064,car,53.560904,9.822489
13068,car,53.560966,9.822596
13072,car,53.561182,9.823853
13076,car,53.561183,9.823702
13080,car,53.585114,9.737926
13084,car,53.585024,9.737924
13088,car,53.573307,9.93065
13092,car,53.573397,9.930652
13096,car,53.547226,9.889885
13100,car,53.547225,9.890036
13104,car,53.546661,9.890839
13108,car,53.546571,9.890837
